"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.753844550E1,-4.745506083E0,6.679690177E0,-4.447947711E-2
8.854276658E1,1.657476307E0,-7.165326580E0,-5.567436908E0
8.954708858E1,-4.495884646E-1,-2.029823492E0,-1.453658888E0
9.055140962E1,5.327209608E-1,1.614308068E0,-5.987333651E0
9.155573300E1,-6.371196342E0,1.047649722E0,-8.000268629E-1
9.256005687E1,-4.135913240E-1,-1.552287821E1,-6.119826880E0
9.356438108E1,-4.991588201E-1,-5.070051695E0,-2.682955141E0
9.456870612E1,-1.845625820E0,5.222326639E0,3.654076796E0
9.557302971E1,3.039470404E-1,7.074425181E0,3.773011209E0
9.657735358E1,3.135803282E-2,6.432941185E0,5.492165117E0
9.758167833E1,8.458134851E-1,1.649807099E0,4.509798096E0
9.858600346E1,5.133270621E-1,-2.984758008E0,-3.200710300E-1
9.959032808E1,-5.610393478E0,-2.838362439E0,-2.815650099E0
1.005946516E2,2.517852283E0,-2.251189721E0,-2.010485726E0
1.015989772E2,1.643546778E0,-1.090633773E0,-4.248750615E-1
1.026033029E2,-9.228581527E-1,6.306105137E-1,-1.431355707E0
1.036076295E2,-9.483879002E-1,-2.605677170E-1,-4.864310396E-1
1.046119583E2,5.504792764E0,-6.084962271E0,1.761803498E0
1.056162892E2,1.166995632E0,5.098796023E0,3.657793871E0
1.066206181E2,2.111352389E0,-3.810030516E0,8.245540030E0
1.076249481E2,-4.994277627E0,-3.677284688E-1,-1.192445785E0
1.086292796E2,-1.166996071E0,-1.221096264E1,3.555972505E0
1.096336096E2,1.390469344E0,3.038707343E-1,-2.326594244E0
1.106379425E2,-2.129070987E-1,2.013869144E-1,-2.414280260E-1
1.116422743E2,-1.884532023E-2,5.008944198E-2,-5.168938637E-3
1.126466072E2,-2.567976516E-2,2.311068133E-2,-7.051157355E-2
1.136509387E2,-4.821942933E-3,3.131615214E-2,2.720300138E-2
1.146552707E2,-2.020946249E0,-1.031677467E0,-1.367383075E0
1.156596032E2,1.066671372E-1,-1.114812595E-1,-5.704660535E-2
1.166639345E2,-1.501150193E-1,-1.815408432E-1,-1.330744421E-1
1.176682669E2,-9.109596536E-3,-5.985326886E-2,-6.655066967E-2
1.186725981E2,1.995669320E-1,-5.152858794E-2,3.918827319E-1
1.196769301E2,5.571351327E-1,5.708929002E-1,-6.171385288E-2
1.206812618E2,2.862782165E-2,1.637331480E-1,-3.012181449E-1
1.216855932E2,2.024797956E-1,7.691427469E-2,-6.747569919E-2
1.226899250E2,-5.171317723E-2,-7.034785151E-2,-1.027297318E-1
1.236942565E2,-4.112609893E-2,1.051972568E-2,8.056293726E-2
